zip,full address
2537,"02537,East Sandwich,Massachusetts,MA,Barnstable,1,41.7283,-70.44"
2540,"02540,Falmouth,Massachusetts,MA,Barnstable,1,41.5648,-70.6217"
2541,"02541,Falmouth,Massachusetts,MA,Barnstable,1,41.5515,-70.6148"
2542,"02542,Buzzards Bay,Massachusetts,MA,Barnstable,1,41.6531,-70.5537"
2543,"02543,Woods Hole,Massachusetts,MA,Barnstable,1,41.5263,-70.6643"
2553,"02553,Monument Beach,Massachusetts,MA,Barnstable,1,41.6734,-70.608"
2556,"02556,North Falmouth,Massachusetts,MA,Barnstable,1,41.6417,-70.623"
2559,"02559,Pocasset,Massachusetts,MA,Barnstable,1,41.6881,-70.6105"
2561,"02561,Sagamore,Massachusetts,MA,Barnstable,1,41.7703,-70.5337"
2562,"02562,Sagamore Beach,Massachusetts,MA,Barnstable,1,41.7933,-70.5196"
2563,"02563,Sandwich,Massachusetts,MA,Barnstable,1,41.7113,-70.4775"
2574,"02574,West Falmouth,Massachusetts,MA,Barnstable,1,41.6039,-70.6382"
2601,"02601,Hyannis,Massachusetts,MA,Barnstable,1,41.6601,-70.2967"
2630,"02630,Barnstable,Massachusetts,MA,Barnstable,1,41.6983,-70.3001"
2631,"02631,Brewster,Massachusetts,MA,Barnstable,1,41.7492,-70.0699"
2632,"02632,Centerville,Massachusetts,MA,Barnstable,1,41.6606,-70.3532"
2633,"02633,Chatham,Massachusetts,MA,Barnstable,1,41.6889,-69.9722"
2634,"02634,Centerville,Massachusetts,MA,Barnstable,1,41.6487,-70.3481"
2635,"02635,Cotuit,Massachusetts,MA,Barnstable,1,41.6243,-70.4364"
2637,"02637,Cummaquid,Massachusetts,MA,Barnstable,1,41.7014,-70.2772"
2638,"02638,Dennis,Massachusetts,MA,Barnstable,1,41.7322,-70.1911"
2639,"02639,Dennis Port,Massachusetts,MA,Barnstable,1,41.6649,-70.1327"
2641,"02641,East Dennis,Massachusetts,MA,Barnstable,1,41.7426,-70.162"
2642,"02642,Eastham,Massachusetts,MA,Barnstable,1,41.8408,-69.9849"
2643,"02643,East Orleans,Massachusetts,MA,Barnstable,1,41.7843,-69.962"
2644,"02644,Forestdale,Massachusetts,MA,Barnstable,1,41.6827,-70.5143"
2645,"02645,Harwich,Massachusetts,MA,Barnstable,1,41.7008,-70.0579"
2646,"02646,Harwich Port,Massachusetts,MA,Barnstable,1,41.6703,-70.0722"
2647,"02647,Hyannis Port,Massachusetts,MA,Barnstable,1,41.635,-70.3063"
2648,"02648,Marstons Mills,Massachusetts,MA,Barnstable,1,41.6703,-70.4163"
2649,"02649,Mashpee,Massachusetts,MA,Barnstable,1,41.6181,-70.4854"
2650,"02650,North Chatham,Massachusetts,MA,Barnstable,1,41.703,-69.9666"
2651,"02651,North Eastham,Massachusetts,MA,Barnstable,1,41.8243,-69.9818"
2652,"02652,North Truro,Massachusetts,MA,Barnstable,1,42.0338,-70.0875"
2653,"02653,Orleans,Massachusetts,MA,Barnstable,1,41.7792,-69.9822"
2655,"02655,Osterville,Massachusetts,MA,Barnstable,1,41.63,-70.3837"
2657,"02657,Provincetown,Massachusetts,MA,Barnstable,1,42.0534,-70.1865"
2659,"02659,South Chatham,Massachusetts,MA,Barnstable,1,41.6801,-70.0241"
2660,"02660,South Dennis,Massachusetts,MA,Barnstable,1,41.7097,-70.1585"
2661,"02661,South Harwich,Massachusetts,MA,Barnstable,1,41.6862,-70.0329"
2662,"02662,South Orleans,Massachusetts,MA,Barnstable,1,41.7567,-69.9841"
2663,"02663,South Wellfleet,Massachusetts,MA,Barnstable,1,41.8005,-70.0768"
2664,"02664,South Yarmouth,Massachusetts,MA,Barnstable,1,41.6739,-70.1949"
2666,"02666,Truro,Massachusetts,MA,Barnstable,1,41.9988,-70.0564"
2667,"02667,Wellfleet,Massachusetts,MA,Barnstable,1,41.9289,-70.0186"
2668,"02668,West Barnstable,Massachusetts,MA,Barnstable,1,41.7002,-70.372"
2669,"02669,West Chatham,Massachusetts,MA,Barnstable,1,41.6812,-69.9911"
2670,"02670,West Dennis,Massachusetts,MA,Barnstable,1,41.6626,-70.1681"
2671,"02671,West Harwich,Massachusetts,MA,Barnstable,1,41.6694,-70.1135"
2672,"02672,West Hyannisport,Massachusetts,MA,Barnstable,1,41.6356,-70.3233"
2673,"02673,West Yarmouth,Massachusetts,MA,Barnstable,1,41.6614,-70.2363"
2675,"02675,Yarmouth Port,Massachusetts,MA,Barnstable,1,41.7051,-70.227"
1029,"01029,East Otis,Massachusetts,MA,Berkshire,3,42.1909,-73.0517"
1201,"01201,Pittsfield,Massachusetts,MA,Berkshire,3,42.4531,-73.2471"
1202,"01202,Pittsfield,Massachusetts,MA,Berkshire,3,42.3929,-73.2285"
1203,"01203,Pittsfield,Massachusetts,MA,Berkshire,3,42.3929,-73.2285"
1220,"01220,Adams,Massachusetts,MA,Berkshire,3,42.6223,-73.1172"
1222,"01222,Ashley Falls,Massachusetts,MA,Berkshire,3,42.0596,-73.3202"
1223,"01223,Becket,Massachusetts,MA,Berkshire,3,42.3594,-73.1203"
1224,"01224,Berkshire,Massachusetts,MA,Berkshire,3,42.5126,-73.1929"
1225,"01225,Cheshire,Massachusetts,MA,Berkshire,3,42.5611,-73.158"
1226,"01226,Dalton,Massachusetts,MA,Berkshire,3,42.475,-73.1603"
1227,"01227,Dalton,Massachusetts,MA,Berkshire,3,42.4737,-73.1662"
1229,"01229,Glendale,Massachusetts,MA,Berkshire,3,42.2793,-73.3435"
1230,"01230,Great Barrington,Massachusetts,MA,Berkshire,3,42.1959,-73.3607"
1235,"01235,Hinsdale,Massachusetts,MA,Berkshire,3,42.4298,-73.0724"
1236,"01236,Housatonic,Massachusetts,MA,Berkshire,3,42.2653,-73.3745"
1237,"01237,Lanesborough,Massachusetts,MA,Berkshire,3,42.5173,-73.2282"
1238,"01238,Lee,Massachusetts,MA,Berkshire,3,42.299,-73.2317"
1240,"01240,Lenox,Massachusetts,MA,Berkshire,3,42.3642,-73.2713"
1242,"01242,Lenox Dale,Massachusetts,MA,Berkshire,3,42.3386,-73.2509"
1244,"01244,Mill River,Massachusetts,MA,Berkshire,3,42.1228,-73.254"
1245,"01245,Monterey,Massachusetts,MA,Berkshire,3,42.1867,-73.2065"
1247,"01247,North Adams,Massachusetts,MA,Berkshire,3,42.6955,-73.08"
1252,"01252,North Egremont,Massachusetts,MA,Berkshire,3,42.1986,-73.4462"
1253,"01253,Otis,Massachusetts,MA,Berkshire,3,42.1931,-73.0918"
1254,"01254,Richmond,Massachusetts,MA,Berkshire,3,42.3784,-73.3645"
1255,"01255,Sandisfield,Massachusetts,MA,Berkshire,3,42.1094,-73.1163"
1256,"01256,Savoy,Massachusetts,MA,Berkshire,3,42.577,-73.0233"
1257,"01257,Sheffield,Massachusetts,MA,Berkshire,3,42.1001,-73.3611"
1258,"01258,South Egremont,Massachusetts,MA,Berkshire,3,42.1012,-73.4566"
1259,"01259,Southfield,Massachusetts,MA,Berkshire,3,42.078,-73.2609"
1260,"01260,South Lee,Massachusetts,MA,Berkshire,3,42.2779,-73.2773"
1262,"01262,Stockbridge,Massachusetts,MA,Berkshire,3,42.301,-73.3223"
1263,"01263,Stockbridge,Massachusetts,MA,Berkshire,3,42.3929,-73.2285"
1264,"01264,Tyringham,Massachusetts,MA,Berkshire,3,42.22,-73.1979"
1266,"01266,West Stockbridge,Massachusetts,MA,Berkshire,3,42.3348,-73.3825"
1267,"01267,Williamstown,Massachusetts,MA,Berkshire,3,42.7089,-73.2036"
1270,"01270,Windsor,Massachusetts,MA,Berkshire,3,42.515,-73.0412"
1343,"01343,Drury,Massachusetts,MA,Berkshire,3,42.6427,-72.9862"
2048,"02048,Mansfield,Massachusetts,MA,Bristol,5,42.0212,-71.2178"
2334,"02334,Easton,Massachusetts,MA,Bristol,5,42.0235,-71.1324"
2356,"02356,North Easton,Massachusetts,MA,Bristol,5,42.059,-71.1123"
2357,"02357,North Easton,Massachusetts,MA,Bristol,5,42.0645,-71.0871"
2375,"02375,South Easton,Massachusetts,MA,Bristol,5,42.0257,-71.0988"
2702,"02702,Assonet,Massachusetts,MA,Bristol,5,41.7975,-71.0607"
2703,"02703,Attleboro,Massachusetts,MA,Bristol,5,41.9296,-71.3009"
2712,"02712,Chartley,Massachusetts,MA,Bristol,5,41.9487,-71.2259"
2714,"02714,Dartmouth,Massachusetts,MA,Bristol,5,41.7562,-71.0671"
2715,"02715,Dighton,Massachusetts,MA,Bristol,5,41.8125,-71.1427"
2717,"02717,East Freetown,Massachusetts,MA,Bristol,5,41.7635,-70.9677"
2718,"02718,East Taunton,Massachusetts,MA,Bristol,5,41.8736,-71.0192"
2719,"02719,Fairhaven,Massachusetts,MA,Bristol,5,41.6409,-70.8896"
2720,"02720,Fall River,Massachusetts,MA,Bristol,5,41.7182,-71.14"
2721,"02721,Fall River,Massachusetts,MA,Bristol,5,41.6883,-71.1574"
2722,"02722,Fall River,Massachusetts,MA,Bristol,5,41.7015,-71.155"
2723,"02723,Fall River,Massachusetts,MA,Bristol,5,41.6926,-71.1332"
2724,"02724,Fall River,Massachusetts,MA,Bristol,5,41.685,-71.1748"
2725,"02725,Somerset,Massachusetts,MA,Bristol,5,41.7223,-71.178"
2726,"02726,Somerset,Massachusetts,MA,Bristol,5,41.756,-71.1492"
2740,"02740,New Bedford,Massachusetts,MA,Bristol,5,41.6347,-70.9372"
2741,"02741,New Bedford,Massachusetts,MA,Bristol,5,41.6362,-70.9342"
2742,"02742,New Bedford,Massachusetts,MA,Bristol,5,41.6362,-70.9342"
2743,"02743,Acushnet,Massachusetts,MA,Bristol,5,41.6997,-70.9087"
2744,"02744,New Bedford,Massachusetts,MA,Bristol,5,41.6127,-70.9167"
2745,"02745,New Bedford,Massachusetts,MA,Bristol,5,41.6913,-70.9355"
2746,"02746,New Bedford,Massachusetts,MA,Bristol,5,41.66,-70.9324"
2747,"02747,North Dartmouth,Massachusetts,MA,Bristol,5,41.6338,-70.9958"
2748,"02748,South Dartmouth,Massachusetts,MA,Bristol,5,41.5665,-70.9843"
2760,"02760,North Attleboro,Massachusetts,MA,Bristol,5,41.9775,-71.3298"
2761,"02761,North Attleboro,Massachusetts,MA,Bristol,5,41.9834,-71.3328"
2763,"02763,Attleboro Falls,Massachusetts,MA,Bristol,5,41.9726,-71.3082"
2764,"02764,North Dighton,Massachusetts,MA,Bristol,5,41.8529,-71.1485"
2766,"02766,Norton,Massachusetts,MA,Bristol,5,41.9718,-71.1894"
2767,"02767,Raynham,Massachusetts,MA,Bristol,5,41.9324,-71.0469"
2768,"02768,Raynham Center,Massachusetts,MA,Bristol,5,41.7562,-71.0671"
2769,"02769,Rehoboth,Massachusetts,MA,Bristol,5,41.8515,-71.2545"
2771,"02771,Seekonk,Massachusetts,MA,Bristol,5,41.8378,-71.3224"
2777,"02777,Swansea,Massachusetts,MA,Bristol,5,41.7473,-71.2122"
2779,"02779,Berkley,Massachusetts,MA,Bristol,5,41.8353,-71.0765"
2780,"02780,Taunton,Massachusetts,MA,Bristol,5,41.905,-71.1026"
2783,"02783,Taunton,Massachusetts,MA,Bristol,5,41.7562,-71.0671"
2790,"02790,Westport,Massachusetts,MA,Bristol,5,41.6211,-71.089"
2791,"02791,Westport Point,Massachusetts,MA,Bristol,5,41.5223,-71.0745"
2535,"02535,Chilmark,Massachusetts,MA,Dukes,7,41.3575,-70.7416"
2539,"02539,Edgartown,Massachusetts,MA,Dukes,7,41.3889,-70.5339"
2552,"02552,Menemsha,Massachusetts,MA,Dukes,7,41.3798,-70.6431"
2557,"02557,Oak Bluffs,Massachusetts,MA,Dukes,7,41.4543,-70.562"
2568,"02568,Vineyard Haven,Massachusetts,MA,Dukes,7,41.45,-70.5937"
2575,"02575,West Tisbury,Massachusetts,MA,Dukes,7,41.4213,-70.6428"
2713,"02713,Cuttyhunk,Massachusetts,MA,Dukes,7,41.4218,-70.9313"
1810,"01810,Andover,Massachusetts,MA,Essex,9,42.6496,-71.1565"
1812,"01812,Andover,Massachusetts,MA,Essex,9,42.6472,-71.1842"
1830,"01830,Haverhill,Massachusetts,MA,Essex,9,42.7856,-71.0721"
1831,"01831,Haverhill,Massachusetts,MA,Essex,9,42.7711,-71.1221"
1832,"01832,Haverhill,Massachusetts,MA,Essex,9,42.7792,-71.1095"
1833,"01833,Georgetown,Massachusetts,MA,Essex,9,42.7281,-70.9822"
1834,"01834,Groveland,Massachusetts,MA,Essex,9,42.753,-71.027"
1835,"01835,Haverhill,Massachusetts,MA,Essex,9,42.7528,-71.0843"
1840,"01840,Lawrence,Massachusetts,MA,Essex,9,42.708,-71.1638"
1841,"01841,Lawrence,Massachusetts,MA,Essex,9,42.7115,-71.167"
1842,"01842,Lawrence,Massachusetts,MA,Essex,9,42.707,-71.1631"
1843,"01843,Lawrence,Massachusetts,MA,Essex,9,42.6911,-71.1605"
1844,"01844,Methuen,Massachusetts,MA,Essex,9,42.728,-71.181"
1845,"01845,North Andover,Massachusetts,MA,Essex,9,42.6826,-71.109"
1860,"01860,Merrimac,Massachusetts,MA,Essex,9,42.8346,-71.0047"
1885,"01885,West Boxford,Massachusetts,MA,Essex,9,42.707,-71.0639"
1899,"01899,Andover,Massachusetts,MA,Essex,9,42.6584,-71.137"
1901,"01901,Lynn,Massachusetts,MA,Essex,9,42.4612,-70.9467"
1902,"01902,Lynn,Massachusetts,MA,Essex,9,42.4698,-70.942"
1903,"01903,Lynn,Massachusetts,MA,Essex,9,42.4668,-70.9495"
1904,"01904,Lynn,Massachusetts,MA,Essex,9,42.4889,-70.9647"
1905,"01905,Lynn,Massachusetts,MA,Essex,9,42.4694,-70.9728"
1906,"01906,Saugus,Massachusetts,MA,Essex,9,42.4633,-71.0111"
1907,"01907,Swampscott,Massachusetts,MA,Essex,9,42.4746,-70.9098"
1908,"01908,Nahant,Massachusetts,MA,Essex,9,42.4261,-70.9277"
1910,"01910,Lynn,Massachusetts,MA,Essex,9,42.4548,-70.9747"
1913,"01913,Amesbury,Massachusetts,MA,Essex,9,42.8559,-70.9367"
1915,"01915,Beverly,Massachusetts,MA,Essex,9,42.5608,-70.8759"
1921,"01921,Boxford,Massachusetts,MA,Essex,9,42.6797,-71.0114"
1922,"01922,Byfield,Massachusetts,MA,Essex,9,42.7568,-70.9351"
1923,"01923,Danvers,Massachusetts,MA,Essex,9,42.5694,-70.9425"
1929,"01929,Essex,Massachusetts,MA,Essex,9,42.6286,-70.7828"
1930,"01930,Gloucester,Massachusetts,MA,Essex,9,42.6208,-70.6721"
1931,"01931,Gloucester,Massachusetts,MA,Essex,9,42.6159,-70.662"
1936,"01936,Hamilton,Massachusetts,MA,Essex,9,42.6354,-70.8791"
1937,"01937,Hathorne,Massachusetts,MA,Essex,9,42.6354,-70.8791"
1938,"01938,Ipswich,Massachusetts,MA,Essex,9,42.6809,-70.8494"
1940,"01940,Lynnfield,Massachusetts,MA,Essex,9,42.5327,-71.0339"
1944,"01944,Manchester,Massachusetts,MA,Essex,9,42.5796,-70.7674"
1945,"01945,Marblehead,Massachusetts,MA,Essex,9,42.4984,-70.8653"
1949,"01949,Middleton,Massachusetts,MA,Essex,9,42.5942,-71.013"
1950,"01950,Newburyport,Massachusetts,MA,Essex,9,42.813,-70.8847"
1951,"01951,Newbury,Massachusetts,MA,Essex,9,42.7835,-70.8474"
1952,"01952,Salisbury,Massachusetts,MA,Essex,9,42.8507,-70.8588"
1960,"01960,Peabody,Massachusetts,MA,Essex,9,42.5326,-70.9612"
1961,"01961,Peabody,Massachusetts,MA,Essex,9,42.6354,-70.8791"
1965,"01965,Prides Crossing,Massachusetts,MA,Essex,9,42.5581,-70.8257"
1966,"01966,Rockport,Massachusetts,MA,Essex,9,42.658,-70.6194"
1969,"01969,Rowley,Massachusetts,MA,Essex,9,42.7138,-70.907"
1970,"01970,Salem,Massachusetts,MA,Essex,9,42.5151,-70.9003"
1971,"01971,Salem,Massachusetts,MA,Essex,9,42.6354,-70.8791"
1982,"01982,South Hamilton,Massachusetts,MA,Essex,9,42.6185,-70.8561"
1983,"01983,Topsfield,Massachusetts,MA,Essex,9,42.6415,-70.9488"
1984,"01984,Wenham,Massachusetts,MA,Essex,9,42.6017,-70.8786"
1985,"01985,West Newbury,Massachusetts,MA,Essex,9,42.7949,-70.9778"
5501,"05501,Andover,Massachusetts,MA,Essex,9,42.6472,-71.1842"
5544,"05544,Andover,Massachusetts,MA,Essex,9,42.6472,-71.1842"
1054,"01054,Leverett,Massachusetts,MA,Franklin,11,42.4682,-72.4993"
1072,"01072,Shutesbury,Massachusetts,MA,Franklin,11,42.482,-72.4213"
1093,"01093,Whately,Massachusetts,MA,Franklin,11,42.4427,-72.6525"
1301,"01301,Greenfield,Massachusetts,MA,Franklin,11,42.6013,-72.6236"
1302,"01302,Greenfield,Massachusetts,MA,Franklin,11,42.5222,-72.6242"
1330,"01330,Ashfield,Massachusetts,MA,Franklin,11,42.5232,-72.811"
1337,"01337,Bernardston,Massachusetts,MA,Franklin,11,42.6952,-72.5772"
1338,"01338,Buckland,Massachusetts,MA,Franklin,11,42.5736,-72.8213"
1339,"01339,Charlemont,Massachusetts,MA,Franklin,11,42.608,-72.8901"
1340,"01340,Colrain,Massachusetts,MA,Franklin,11,42.679,-72.7265"
1341,"01341,Conway,Massachusetts,MA,Franklin,11,42.5138,-72.7025"
1342,"01342,Deerfield,Massachusetts,MA,Franklin,11,42.5406,-72.6072"
1344,"01344,Erving,Massachusetts,MA,Franklin,11,42.6076,-72.4292"
1346,"01346,Heath,Massachusetts,MA,Franklin,11,42.6853,-72.8391"
1347,"01347,Lake Pleasant,Massachusetts,MA,Franklin,11,42.5566,-72.5181"
1349,"01349,Millers Falls,Massachusetts,MA,Franklin,11,42.582,-72.4926"
1350,"01350,Monroe Bridge,Massachusetts,MA,Franklin,11,42.7215,-72.9762"
1351,"01351,Montague,Massachusetts,MA,Franklin,11,42.5429,-72.5328"
1354,"01354,Gill,Massachusetts,MA,Franklin,11,42.6404,-72.4995"
1355,"01355,New Salem,Massachusetts,MA,Franklin,11,42.5146,-72.3062"
1360,"01360,Northfield,Massachusetts,MA,Franklin,11,42.6887,-72.451"
1364,"01364,Orange,Massachusetts,MA,Franklin,11,42.6129,-72.2924"
1367,"01367,Rowe,Massachusetts,MA,Franklin,11,42.6953,-72.9258"
1370,"01370,Shelburne Falls,Massachusetts,MA,Franklin,11,42.6022,-72.7391"
1373,"01373,South Deerfield,Massachusetts,MA,Franklin,11,42.4756,-72.6153"
1375,"01375,Sunderland,Massachusetts,MA,Franklin,11,42.4539,-72.5676"
1376,"01376,Turners Falls,Massachusetts,MA,Franklin,11,42.5954,-72.5557"
1378,"01378,Warwick,Massachusetts,MA,Franklin,11,42.6671,-72.3397"
1379,"01379,Wendell,Massachusetts,MA,Franklin,11,42.5656,-72.4009"
1380,"01380,Wendell Depot,Massachusetts,MA,Franklin,11,42.5534,-72.3927"
1001,"01001,Agawam,Massachusetts,MA,Hampden,13,42.0702,-72.6227"
1008,"01008,Blandford,Massachusetts,MA,Hampden,13,42.1829,-72.9361"
1009,"01009,Bondsville,Massachusetts,MA,Hampden,13,42.2061,-72.3405"
1010,"01010,Brimfield,Massachusetts,MA,Hampden,13,42.1165,-72.1885"
1011,"01011,Chester,Massachusetts,MA,Hampden,13,42.2794,-72.9888"
1013,"01013,Chicopee,Massachusetts,MA,Hampden,13,42.1487,-72.6079"
1014,"01014,Chicopee,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1020,"01020,Chicopee,Massachusetts,MA,Hampden,13,42.1764,-72.5761"
1021,"01021,Chicopee,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1022,"01022,Chicopee,Massachusetts,MA,Hampden,13,42.1934,-72.5544"
1028,"01028,East Longmeadow,Massachusetts,MA,Hampden,13,42.0672,-72.5056"
1030,"01030,Feeding Hills,Massachusetts,MA,Hampden,13,42.0718,-72.6751"
1034,"01034,Granville,Massachusetts,MA,Hampden,13,42.1127,-72.952"
1036,"01036,Hampden,Massachusetts,MA,Hampden,13,42.0648,-72.4318"
1040,"01040,Holyoke,Massachusetts,MA,Hampden,13,42.202,-72.6262"
1041,"01041,Holyoke,Massachusetts,MA,Hampden,13,42.2043,-72.6162"
1056,"01056,Ludlow,Massachusetts,MA,Hampden,13,42.1728,-72.471"
1057,"01057,Monson,Massachusetts,MA,Hampden,13,42.101,-72.3196"
1069,"01069,Palmer,Massachusetts,MA,Hampden,13,42.1762,-72.3288"
1071,"01071,Russell,Massachusetts,MA,Hampden,13,42.1471,-72.8403"
1077,"01077,Southwick,Massachusetts,MA,Hampden,13,42.0511,-72.7706"
1079,"01079,Thorndike,Massachusetts,MA,Hampden,13,42.1929,-72.3296"
1080,"01080,Three Rivers,Massachusetts,MA,Hampden,13,42.1819,-72.3624"
1081,"01081,Wales,Massachusetts,MA,Hampden,13,42.0627,-72.2046"
1085,"01085,Westfield,Massachusetts,MA,Hampden,13,42.1251,-72.7495"
1086,"01086,Westfield,Massachusetts,MA,Hampden,13,42.1734,-72.848"
1089,"01089,West Springfield,Massachusetts,MA,Hampden,13,42.1151,-72.6411"
1090,"01090,West Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1095,"01095,Wilbraham,Massachusetts,MA,Hampden,13,42.1245,-72.4464"
1097,"01097,Woronoco,Massachusetts,MA,Hampden,13,42.164,-72.8295"
1101,"01101,Springfield,Massachusetts,MA,Hampden,13,42.1015,-72.5898"
1102,"01102,Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1103,"01103,Springfield,Massachusetts,MA,Hampden,13,42.1029,-72.5887"
1104,"01104,Springfield,Massachusetts,MA,Hampden,13,42.1288,-72.5778"
1105,"01105,Springfield,Massachusetts,MA,Hampden,13,42.0999,-72.5783"
1106,"01106,Longmeadow,Massachusetts,MA,Hampden,13,42.0507,-72.5676"
1107,"01107,Springfield,Massachusetts,MA,Hampden,13,42.1179,-72.6065"
1108,"01108,Springfield,Massachusetts,MA,Hampden,13,42.0853,-72.5584"
1109,"01109,Springfield,Massachusetts,MA,Hampden,13,42.1145,-72.5543"
1111,"01111,Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1115,"01115,Springfield,Massachusetts,MA,Hampden,13,42.1029,-72.5916"
1116,"01116,Longmeadow,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1118,"01118,Springfield,Massachusetts,MA,Hampden,13,42.0929,-72.5274"
1119,"01119,Springfield,Massachusetts,MA,Hampden,13,42.1247,-72.5121"
1128,"01128,Springfield,Massachusetts,MA,Hampden,13,42.0944,-72.4889"
1129,"01129,Springfield,Massachusetts,MA,Hampden,13,42.1223,-72.4876"
1138,"01138,Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1139,"01139,Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1144,"01144,Springfield,Massachusetts,MA,Hampden,13,42.1018,-72.5915"
1151,"01151,Indian Orchard,Massachusetts,MA,Hampden,13,42.1532,-72.505"
1152,"01152,Springfield,Massachusetts,MA,Hampden,13,42.1707,-72.6048"
1199,"01199,Springfield,Massachusetts,MA,Hampden,13,42.1199,-72.605"
1521,"01521,Holland,Massachusetts,MA,Hampden,13,42.0403,-72.1544"
1002,"01002,Amherst,Massachusetts,MA,Hampshire,15,42.3671,-72.4646"
1003,"01003,Amherst,Massachusetts,MA,Hampshire,15,42.3919,-72.5248"
1004,"01004,Amherst,Massachusetts,MA,Hampshire,15,42.3845,-72.5132"
1007,"01007,Belchertown,Massachusetts,MA,Hampshire,15,42.2751,-72.411"
1012,"01012,Chesterfield,Massachusetts,MA,Hampshire,15,42.3923,-72.8256"
1026,"01026,Cummington,Massachusetts,MA,Hampshire,15,42.4633,-72.9202"
1027,"01027,Easthampton,Massachusetts,MA,Hampshire,15,42.2668,-72.669"
1032,"01032,Goshen,Massachusetts,MA,Hampshire,15,42.4404,-72.7995"
1033,"01033,Granby,Massachusetts,MA,Hampshire,15,42.2557,-72.52"
1035,"01035,Hadley,Massachusetts,MA,Hampshire,15,42.3606,-72.5715"
1038,"01038,Hatfield,Massachusetts,MA,Hampshire,15,42.3844,-72.6167"
1039,"01039,Haydenville,Massachusetts,MA,Hampshire,15,42.3818,-72.7032"
1050,"01050,Huntington,Massachusetts,MA,Hampshire,15,42.2653,-72.8733"
1053,"01053,Leeds,Massachusetts,MA,Hampshire,15,42.3543,-72.7034"
1059,"01059,North Amherst,Massachusetts,MA,Hampshire,15,42.4104,-72.5309"
1060,"01060,Northampton,Massachusetts,MA,Hampshire,15,42.3223,-72.6313"
1061,"01061,Northampton,Massachusetts,MA,Hampshire,15,42.3696,-72.636"
1062,"01062,Florence,Massachusetts,MA,Hampshire,15,42.3219,-72.6928"
1063,"01063,Northampton,Massachusetts,MA,Hampshire,15,42.3179,-72.6402"
