CUSTOMER_NUMBER,PRIMARY_GROUP_NUMBER,FREQUENT_ORDER_TYPE,FIRST_DELIVERY_DATE,ON_BOARDING_DATE,COLD_DRINK_CHANNEL,TRADE_CHANNEL,SUB_TRADE_CHANNEL,LOCAL_MARKET_PARTNER,CO2_CUSTOMER,ZIP_CODE
600083738,1712,SALES REP,12/4/2015,2/1/2007,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,2150
501655573,1431,MYCOKE360,5/29/2024,5/14/2024,DINING,MOBILE RETAIL,MOBILE RETAIL,TRUE,FALSE,2563
600076892,1816,OTHER,5/10/2018,5/1/1987,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,FALSE,FALSE,41667
501587421,,MYCOKE360,1/3/2024,12/5/2023,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,21716
501755508,2192,CALL CENTER,12/9/2024,12/4/2024,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21228
600068929,384,MYCOKE360,5/17/2018,9/28/2012,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,42082
600068306,,CALL CENTER,6/4/2018,5/8/2015,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,TRUE,42054
500391699,,OTHER,5/1/2018,5/2/2017,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,21010
500990491,,OTHER,11/18/2019,8/26/2019,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,2743
501407270,1683,SALES REP,2/17/2023,7/12/2022,EVENT,RECREATION,RECREATION ARENA,FALSE,FALSE,2632
600071754,,OTHER,5/3/2018,1/18/2011,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,TRUE,66615
600068749,437,SALES REP,5/4/2018,5/7/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,21108
500939274,5536,EDI,11/21/2019,5/17/2019,BULK TRADE,SUPERSTORE,ONLINE STORE,TRUE,FALSE,2020
501106595,1274,SALES REP,7/24/2020,7/15/2020,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,67216
600076783,,SALES REP,5/10/2018,4/1/1988,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,41091
501496829,5483,SALES REP,5/10/2023,3/8/2023,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,TRUE,1039
501212275,5288,SALES REP,5/18/2021,5/4/2021,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,21771
501438531,,MYCOKE360,10/21/2022,10/3/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2187
600062661,1568,SALES REP,10/30/2018,10/22/2008,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,FALSE,TRUE,67416
600062950,,SALES REP,5/8/2018,6/2/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67515
600062528,,SALES REP,3/26/2019,3/22/2004,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,67416
501498516,,SALES REP,5/9/2023,3/14/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,67862
500463352,399,OTHER,5/1/2018,10/11/2017,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,FALSE,2713
500311941,,SALES REP,5/25/2018,11/2/2016,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,41094
501431662,,MYCOKE360,9/22/2022,9/12/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,21014
600073005,5479,OTHER,8/23/2023,9/26/2014,WORKPLACE,GENERAL,MISC,TRUE,FALSE,1256
500709012,1006,EDI,7/23/2018,7/13/2018,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,67631
501224546,,SALES REP,7/21/2021,6/4/2021,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2766
500365768,,SALES REP,5/18/2018,3/14/2017,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40619
600061766,,SALES REP,5/2/2018,4/21/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21631
501533995,1090,SALES REP,8/15/2023,6/28/2023,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,40512
500816623,2183,SALES REP,1/18/2019,11/12/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,67585
600257433,7628,SALES REP,8/2/2016,11/8/2013,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,21523
501533227,,SALES REP,7/6/2023,6/27/2023,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,TRUE,TRUE,1227
501687315,,SALES REP,8/8/2024,7/18/2024,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1833
501665728,,SALES REP,6/25/2024,6/10/2024,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,1965
600257030,5646,SALES REP,8/4/2016,8/14/2013,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1913
600251097,,MYCOKE360,8/11/2016,1/21/2009,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,1260
501424775,,MYCOKE360,10/12/2022,8/30/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,2379
600258953,7079,OTHER,10/7/2016,9/16/2014,EVENT,RECREATION,OTHER RECREATION,TRUE,TRUE,20676
501369155,,SALES REP,9/12/2022,4/5/2022,DINING,FAST CASUAL DINING,SANDWICH FAST FOOD,TRUE,FALSE,1201
600249741,4564,OTHER,8/2/2016,11/21/2006,DINING,FAST CASUAL DINING,OTHER FAST FOOD,FALSE,FALSE,67859
501226070,,SALES REP,7/8/2021,6/11/2021,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1775
501555743,,SALES REP,9/7/2023,8/24/2023,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67757
500964965,,SALES REP,7/23/2019,7/9/2019,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,TRUE,67861
600256559,437,CALL CENTER,9/7/2016,4/18/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,67559
600058640,,SALES REP,3/5/2018,6/19/2015,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,41339
501470118,,MYCOKE360,2/20/2023,12/13/2022,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,FALSE,66761
501083446,,SALES REP,5/5/2020,4/29/2020,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,1226
501648010,,SALES REP,5/3/2024,4/25/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,40374
600058050,,SALES REP,2/28/2018,12/5/2011,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,TRUE,42411
501065148,,OTHER,3/27/2020,2/26/2020,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,TRUE,66710
500514078,3074,OTHER,2/26/2018,1/17/2018,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,67622
501675480,,OTHER,7/23/2024,6/24/2024,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,TRUE,1420
501441577,2487,MYCOKE LEGACY,11/16/2022,10/12/2022,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,40011
501106742,6220,SALES REP,8/4/2020,7/15/2020,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,21913
501359478,,SALES REP,4/4/2022,3/11/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,41035
501480296,,SALES REP,4/10/2023,1/18/2023,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,20751
500268260,,SALES REP,3/1/2018,1/28/2016,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,66834
501180318,,SALES REP,2/25/2021,2/8/2021,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1034
600053493,1043,SALES REP,3/2/2018,1/2/2013,DINING,FAST CASUAL DINING,OTHER FAST FOOD,FALSE,TRUE,1420
501245815,5341,CALL CENTER,8/27/2021,8/6/2021,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,42031
600057287,,SALES REP,2/28/2018,6/18/2009,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,TRUE,40588
501142612,,SALES REP,11/11/2020,11/3/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40863
600053425,384,MYCOKE360,3/20/2018,10/25/2012,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,67855
600055241,,MYCOKE LEGACY,11/7/2022,4/1/1988,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,TRUE,42252
500290993,,SALES REP,3/1/2018,7/15/2016,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,1815
501021309,5545,OTHER,3/9/2020,11/14/2019,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,TRUE,42232
500838047,2183,MYCOKE LEGACY,1/25/2019,1/3/2019,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,2330
501328344,,SALES REP,4/27/2022,1/14/2022,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,TRUE,21048
600551819,404,SALES REP,3/15/2017,6/13/2008,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,71071
600563003,8472,SALES REP,3/2/2017,2/14/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,66422
600579102,1194,SALES REP,3/1/2017,3/6/2016,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,66422
600585856,340,SALES REP,4/10/2017,12/4/2002,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,42153
600567112,437,MYCOKE360,4/19/2017,4/23/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,1468
501377920,,SALES REP,6/3/2022,5/4/2022,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,1060
501567022,,MYCOKE360,12/14/2023,9/28/2023,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,67656
600587388,,SALES REP,3/1/2017,12/28/2007,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,FALSE,2199
501080516,,SALES REP,10/19/2020,4/14/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,67134
501650712,,SALES REP,6/7/2024,4/26/2024,WORKPLACE,OUTDOOR ACTIVITIES,RESIDENTIAL,TRUE,FALSE,67134
500917063,,OTHER,4/24/2019,4/4/2019,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,TRUE,21919
600562379,8436,OTHER,3/11/2017,11/3/2011,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,2156
600588263,386,SALES REP,2/28/2017,11/18/1998,GOODS,GENERAL RETAILER,BOOKS & OFFICE,TRUE,FALSE,1119
501499092,3855,SALES REP,4/18/2023,3/15/2023,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,2350
600572884,435,SALES REP,2/28/2017,8/29/2014,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,2122
501404987,,SALES REP,7/8/2022,7/7/2022,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,66667
501680306,,SALES REP,7/12/2024,7/9/2024,PUBLIC SECTOR,OUTDOOR ACTIVITIES,FAITH,TRUE,FALSE,67209
501657315,,SALES REP,6/4/2024,5/17/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,2217
600975310,4831,SALES REP,9/20/2019,4/18/1994,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,66414
600587639,2487,SALES REP,3/1/2017,7/18/2000,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,1343
501654847,,SALES REP,5/24/2024,5/10/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,42776
600556191,350,SALES REP,2/27/2017,4/14/2004,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,2051
501186354,,SALES REP,3/18/2021,2/26/2021,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21536
501499520,1431,SALES REP,5/9/2023,3/17/2023,DINING,MOBILE RETAIL,MOBILE RETAIL,TRUE,FALSE,20616
600565455,384,MYCOKE360,4/11/2017,10/25/2012,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,21702
600549923,,CALL CENTER,4/13/2017,9/12/2006,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,41074
501108374,,SALES REP,6/9/2021,7/21/2020,DINING,FAST CASUAL DINING,BURGER FAST FOOD,TRUE,FALSE,21022
500281582,,SALES REP,9/27/2016,5/3/2016,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,40361
501532589,,MYCOKE360,7/19/2023,6/23/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,1885
600075884,,SALES REP,3/4/2016,2/1/1984,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,1349
600076087,457,MYCOKE360,3/8/2016,9/19/2007,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,1801
501639794,,SALES REP,9/4/2024,4/5/2024,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,20794
600075977,,SALES REP,4/1/2016,1/28/2000,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,42565
600075757,,SALES REP,5/2/2016,8/31/2011,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,42565
600081698,4627,SALES REP,3/1/2016,7/22/2003,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,67031
500953080,,SALES REP,9/12/2019,6/10/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2303
500265440,5035,SALES REP,3/2/2016,12/22/2015,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,FALSE,TRUE,66757
500957165,,SALES REP,7/23/2019,6/19/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,21869
500246251,,SALES REP,3/7/2016,11/2/2015,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67037
501088495,,OTHER,7/10/2020,5/21/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40962
501462472,,SALES REP,1/9/2023,11/17/2022,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,TRUE,40423
500512149,,SALES REP,6/19/2018,1/11/2018,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,67647
500315657,,SALES REP,12/7/2016,12/5/2016,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,66757
500464243,,OTHER,10/31/2017,10/12/2017,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,42754
501387113,,SALES REP,6/29/2022,6/1/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,67647
500246131,1006,OTHER,4/28/2016,9/4/2015,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,67647
500282843,,SALES REP,8/31/2017,5/17/2016,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,1803
501100953,340,SALES REP,7/10/2020,6/24/2020,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,21504
600249809,404,SALES REP,8/4/2016,1/17/2007,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,1071
501199404,,SALES REP,3/29/2021,3/23/2021,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,40391
501723360,,SALES REP,10/29/2024,10/4/2024,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,1887
500529673,,SALES REP,5/24/2018,2/12/2018,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,TRUE,2479
500401776,,SALES REP,6/26/2017,6/8/2017,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,1887
501482666,,MYCOKE LEGACY,3/16/2023,1/25/2023,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,1005
500549254,1006,OTHER,4/5/2018,3/5/2018,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,1609
501728885,6734,OTHER,10/25/2024,10/22/2024,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,1840
501565125,,SALES REP,10/30/2023,9/22/2023,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,67337
501301842,376,SALES REP,12/15/2021,12/1/2021,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,41171
600554758,5398,SALES REP,5/18/2017,12/4/2009,EVENT,RECREATION,RECREATION FILM,FALSE,TRUE,1471
501228186,,MYCOKE360,7/8/2021,6/17/2021,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67201
501661471,,SALES REP,6/17/2024,5/31/2024,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,40523
600578875,1194,CALL CENTER,8/15/2017,2/16/2016,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,1880
501410611,1194,SALES REP,7/29/2022,7/20/2022,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,67557
501661710,,SALES REP,6/21/2024,6/3/2024,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,2458
600578681,1194,OTHER,5/12/2017,2/1/2016,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,1910
501553468,,SALES REP,9/8/2023,8/18/2023,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,40579
500538389,437,SALES REP,3/28/2018,2/26/2018,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,1537
600581247,,SALES REP,5/9/2017,8/21/2016,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,40820
500938806,258,SALES REP,5/30/2019,5/16/2019,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,42452
501044849,,SALES REP,3/5/2020,1/28/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,1950
501544013,8515,SALES REP,9/29/2023,7/25/2023,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,67553
501723904,,SALES REP,10/11/2024,10/7/2024,EVENT,RECREATION,RECREATION FILM,TRUE,FALSE,67553
600083744,,SALES REP,1/22/2016,9/5/2007,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,2150
600573327,1194,SALES REP,11/2/2017,9/29/2014,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,67226
501369609,,SALES REP,6/3/2022,4/8/2022,EVENT,RECREATION,RECREATION ARENA,TRUE,TRUE,2327
501469955,,MYCOKE360,1/20/2023,12/13/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40801
500267669,1399,SALES REP,5/2/2018,1/23/2016,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,TRUE,40801
500732957,,OTHER,8/22/2018,8/20/2018,EVENT,RECREATION,RECREATION ARENA,TRUE,FALSE,2457
600066608,2386,SALES REP,5/2/2018,6/10/1994,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,21076
600068452,,SALES REP,5/17/2018,6/15/2015,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2771
500970952,,OTHER,9/9/2019,7/19/2019,DINING,FAST CASUAL DINING,CHICKEN FAST FOOD,TRUE,TRUE,21163
600069104,,OTHER,5/4/2018,4/25/2011,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,40434
501364540,437,MYCOKE360,7/8/2022,3/25/2022,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,42566
600066871,1394,SALES REP,5/3/2018,11/14/2002,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,FALSE,FALSE,66438
600068861,1399,OTHER,5/4/2018,12/14/2001,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,FALSE,TRUE,42164
500826745,1392,OTHER,1/28/2019,12/5/2018,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,FALSE,TRUE,2632
500814053,,OTHER,12/18/2018,11/8/2018,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,42566
